Sample_id,GSM803665,GSM803666,GSM803667,GSM803668,GSM803669,GSM803670,GSM803671,GSM803672,GSM803723,GSM803724,GSM803725,GSM803726,GSM803727,GSM803728,GSM803729,GSM803730,GSM803781,GSM803782,GSM803783,GSM803784,GSM803785,GSM803786,GSM803787,GSM102682,GSM102683
1552289_a_at,4,4,5,4,4,4,4,4,4,4,6,4,4,4,4,4,4,3,5,4,4,4,4,6,33
1552291_at,6,7,7,7,8,7,7,7,6,7,7,7,8,7,6,7,5,7,7,7,7,7,8,151,109
1552293_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4
1552295_a_at,8,7,6,7,7,8,7,7,8,7,6,7,7,8,7,7,8,7,7,7,7,7,7,193,96
1552296_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5
1552299_at,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,30,26
1552301_a_at,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,61,35
1552302_at,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,64,16
1552303_a_at,5,5,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,77,25
1552304_at,4,4,4,3,5,4,3,3,4,4,4,3,5,4,3,3,4,4,4,4,4,3,4,3,4
1552306_at,5,5,4,5,6,5,4,4,5,5,4,5,6,5,3,4,4,5,4,5,5,4,4,20,24
1552307_a_at,4,7,4,6,5,6,5,5,5,7,4,6,5,6,5,5,5,7,4,5,5,5,5,98,100
1552309_a_at,3,5,3,3,4,3,4,3,3,4,3,3,4,3,3,3,3,6,4,3,4,3,3,144,39
1552310_at,7,8,7,7,7,7,8,7,7,8,7,7,7,7,8,7,7,7,7,8,6,8,7,243,115
1552311_a_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,60,35
1552312_a_at,7,6,6,7,6,5,6,7,7,6,6,7,5,5,5,6,6,6,6,7,6,6,6,48,29
1552314_a_at,4,5,4,4,5,4,4,4,4,4,5,5,5,4,4,4,4,5,4,5,5,4,5,32,33
1552315_at,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,79,40
1552316_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,282,85
1552318_at,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,207,53
1552319_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99,69
1552320_a_at,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,23,12
1552321_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1552322_at,2,2,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,2,3,3,3,1,13
1552323_s_at,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,3,4,4,4,47,30
1552325_at,3,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,2,3,2,2,3,2,2,2,15
1552326_a_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,23
1552327_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,67,33
1552329_at,5,4,4,5,5,4,5,4,5,5,3,4,5,4,5,4,5,4,4,5,4,5,4,135,135
1552330_at,6,6,6,6,5,6,6,6,6,7,6,6,5,6,6,6,5,6,6,7,6,6,6,75,32
1552332_at,7,7,6,6,7,6,6,7,7,7,7,6,7,6,6,7,7,7,7,6,7,6,7,35,15
1552334_at,4,7,6,4,6,5,5,5,4,6,6,4,6,5,5,6,5,7,6,5,5,6,6,152,39
1552335_at,7,5,6,6,6,6,5,5,7,6,5,6,5,5,5,5,6,6,5,5,6,5,5,10,5
1552337_s_at,5,4,5,4,6,4,5,5,6,4,5,5,6,5,6,5,6,4,6,4,5,6,5,2,17
1552338_at,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,1
1552340_at,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,6,3
1552343_s_at,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,69,52
1552344_s_at,6,5,6,6,5,6,5,6,6,5,6,6,5,6,4,6,6,5,5,6,6,5,6,79,42
1552347_at,6,7,7,5,7,5,6,5,6,7,7,5,7,5,6,6,7,7,7,6,5,6,6,303,254
1552348_at,6,6,8,6,9,6,10,6,6,6,8,6,9,6,10,6,6,6,8,5,6,11,5,7,5
1552349_a_at,4,4,5,4,6,4,7,4,4,4,6,4,6,4,7,4,4,4,5,4,4,8,4,7,5
1552354_at,5,4,4,4,4,4,5,4,5,5,4,5,5,4,5,5,5,4,4,4,4,4,4,7,4
1552355_s_at,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
1552359_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2
1552360_a_at,3,5,5,4,5,5,5,5,3,5,5,4,4,5,5,4,3,4,5,4,5,5,4,97,55
1552362_a_at,4,5,5,5,4,4,4,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,4,101,74
1552364_s_at,5,5,5,7,7,7,7,6,5,5,5,7,7,7,7,7,5,5,5,7,7,6,6,14,17
1552365_at,3,3,5,6,9,3,8,3,3,4,6,4,9,3,8,3,2,3,5,6,3,7,3,65,45
1552367_a_at,3,3,4,4,7,3,6,3,3,3,4,4,7,3,6,3,3,3,4,4,3,6,3,51,7
1552368_at,3,3,4,3,4,3,4,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3
1552370_at,5,5,6,6,6,6,5,5,5,5,6,6,6,6,5,5,5,5,6,6,6,5,5,144,80
1552372_at,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,3,2,3,2,2,1,4
1552373_s_at,2,2,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,16
1552375_at,4,4,5,4,4,4,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4,5,5,55,37
1552377_s_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,82,74
1552378_s_at,5,4,4,6,4,6,4,5,5,4,4,6,4,6,4,5,5,4,4,6,6,5,5,13,24
1552379_at,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,1,3
1552381_at,3,3,4,3,5,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,2,14,9
1552383_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,39,8
1552384_a_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,23
1552386_at,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,2,3,2,3,3,3,19,17
1552388_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4
1552389_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,6,6
1552390_a_at,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,11,11
1552391_at,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,3,4,3,9
1552393_at,3,3,5,5,3,6,3,3,2,3,4,5,3,7,3,3,2,3,4,5,6,2,3,4,5
1552394_a_at,3,4,6,6,4,7,3,3,3,3,6,6,4,7,3,3,3,3,5,6,7,3,3,4,5
1552395_at,7,6,7,7,6,7,7,7,6,7,6,6,7,6,6,7,6,7,6,6,6,6,7,14,8
1552396_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,22
1552398_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,33,13
1552399_a_at,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,32,4
1552400_a_at,4,4,4,5,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,88,47
1552401_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,11
1552402_at,3,3,4,4,4,3,3,4,4,4,3,4,4,4,3,4,3,3,3,4,4,3,3,2,15
1552405_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,13,2
1552408_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,4
1552409_a_at,6,5,5,6,5,5,5,5,6,5,5,6,5,5,6,6,6,5,5,5,5,5,5,60,6
1552410_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,25
1552411_at,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,5,6,6,6,8,71
1552412_a_at,3,4,3,4,4,3,3,4,4,4,3,3,3,4,3,3,4,3,3,3,4,3,3,2,1
1552414_at,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,21,19
1552415_a_at,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,26,23
1552417_a_at,7,7,6,7,7,6,5,6,7,7,6,7,6,6,5,6,7,7,6,6,6,5,7,78,47
1552418_at,5,5,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,4,4,4,4,4,3,3
1552419_s_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,72,45
1552421_a_at,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,7,4
1552422_at,5,4,5,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,7,3
1552423_at,5,6,6,6,5,5,5,5,5,6,5,6,6,5,5,5,5,6,5,5,5,5,5,117,130
1552424_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
1552425_a_at,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,3,4,4,4,11
1552426_a_at,9,9,9,9,9,9,9,8,9,9,9,9,9,8,9,8,9,9,9,9,8,9,9,734,450
1552427_at,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,14,16
1552430_at,3,3,3,3,3,4,3,3,4,2,3,3,3,3,3,3,4,2,3,3,4,3,3,20,2
1552432_at,5,4,5,5,4,4,4,5,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,6,3
1552436_a_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,2
1552438_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16,18
1552439_s_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,16,14
1552440_at,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,32,13
1552445_a_at,3,3,3,4,3,4,4,4,3,3,3,3,3,4,3,4,3,3,3,4,4,3,4,12,2
1552448_a_at,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,2,1
1552449_a_at,4,3,4,3,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3,2,2
1552450_a_at,6,5,6,6,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,22,23
1552452_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
1552453_a_at,4,3,4,3,4,3,3,4,4,3,3,4,4,4,3,4,3,3,3,4,4,3,3,3,2
1552455_at,3,5,4,3,4,6,3,3,3,5,5,3,4,6,3,3,3,5,5,3,6,3,3,28,35
1552456_a_at,4,4,4,5,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,2
1552457_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,8
1552458_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15
1552459_a_at,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,8,10
1552461_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5,8
1552463_at,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,17
1552466_x_at,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1552467_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,16
1552468_a_at,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4
1552470_a_at,4,6,5,4,4,6,4,5,5,5,5,5,4,6,4,6,4,4,5,5,6,4,5,13,12
1552472_a_at,7,7,7,7,7,7,7,8,7,6,6,6,7,7,6,7,7,7,7,7,7,7,7,72,41
1552473_at,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,14,8
1552474_a_at,7,8,8,7,8,8,8,9,7,7,8,7,8,8,8,9,7,7,8,7,8,8,8,115,59
1552476_s_at,7,5,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,5,6,6,6,6,6,46,73
1552477_a_at,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,3,3,3,3,209,256
1552478_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,111,148
1552480_s_at,3,2,3,2,2,3,2,3,3,2,2,2,3,2,3,2,2,3,3,3,3,2,3,1,0
1552481_s_at,4,4,4,5,5,4,5,5,4,4,4,4,5,4,4,5,4,4,5,5,4,4,6,33,10
1552482_at,3,3,4,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,72,21
1552484_at,6,6,5,6,5,6,5,5,5,5,5,6,5,5,5,5,5,6,5,5,6,6,5,10,23
1552485_at,6,7,6,6,6,7,6,6,7,7,6,6,6,7,6,6,6,6,6,6,7,6,5,62,48
1552486_s_at,6,7,6,6,6,6,6,5,6,6,6,6,5,6,6,5,5,6,6,6,6,6,4,91,54
1552487_a_at,5,3,3,2,2,3,3,3,4,2,3,2,3,3,3,2,4,3,3,2,2,3,3,152,112
1552489_s_at,7,3,3,3,2,3,3,3,7,3,3,3,3,3,3,3,6,3,3,3,3,3,3,23,8
1552490_at,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,37,16
1552491_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11
1552493_s_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3
1552494_at,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,17,4
1552496_a_at,3,5,5,4,4,6,4,5,4,5,5,4,4,6,3,6,3,4,4,3,6,3,5,51,56
1552497_a_at,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,4,4,5,4,43,19
1552498_at,4,4,4,4,3,4,4,4,4,3,3,4,3,3,4,4,4,3,3,3,3,3,4,49,24
1552499_a_at,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,3,4,3,9,9
1552501_a_at,6,5,5,6,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5,5,5,5,5,11,24
1552502_s_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,104,63
1552503_at,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5
1552504_a_at,6,5,5,6,5,5,5,5,5,5,5,6,5,6,5,5,6,5,5,6,6,5,6,11,47
1552506_at,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,7,18
1552507_at,4,4,4,4,4,6,4,5,4,4,4,4,4,6,4,6,4,4,4,4,5,4,4,34,4
1552508_at,4,4,4,4,4,6,4,5,4,4,4,4,4,6,4,5,4,4,3,3,6,4,5,36,22
1552509_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,565,71
1552510_at,8,7,8,8,7,7,7,8,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,108,81
1552511_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,2
1552514_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,42,28
1552515_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,13,15
1552516_a_at,6,6,6,7,7,6,6,6,6,5,5,7,7,6,5,6,6,6,6,7,6,6,6,61,23
1552518_s_at,6,4,4,4,5,5,4,4,6,4,5,4,4,5,4,4,5,5,4,4,5,4,4,8,10
1552519_at,4,6,7,5,8,5,7,7,4,6,7,5,8,5,7,7,4,5,6,5,5,6,6,144,39
1552520_at,5,3,3,4,3,5,4,3,5,4,3,3,4,4,3,4,4,4,3,3,5,3,3,22,13
1552521_a_at,5,3,2,2,3,4,3,2,5,2,2,2,3,4,3,2,3,3,3,2,3,3,3,10,7
1552522_at,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,2,3,3,5,30
1552523_a_at,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,5,23
1552524_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,3
1552526_at,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,1
1552528_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,25
1552531_a_at,4,3,3,5,4,3,3,4,4,3,3,5,4,4,3,4,3,3,3,6,3,3,4,31,13
1552532_a_at,3,3,5,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,6,3,3,3,3,318,314
1552535_at,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,12
1552536_at,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,48,10
1552538_a_at,3,4,3,4,3,4,5,4,3,4,4,4,4,4,5,4,3,3,4,4,4,5,4,3,5
1552540_s_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4
1552541_at,6,5,6,6,5,6,6,6,5,5,6,6,6,6,5,6,5,5,6,5,6,5,6,74,39
1552542_s_at,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,20
1552543_a_at,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,24,16
1552544_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1595,1041
1552546_a_at,5,4,4,4,4,4,3,3,5,4,4,3,3,4,4,4,4,3,4,4,3,4,4,3,11
1552548_at,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,4,3,34,3
1552549_a_at,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,3,7
1552552_s_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8
1552553_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,31,3
1552554_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12
1552555_at,6,5,5,5,5,6,5,5,6,5,5,6,6,5,5,6,6,5,5,5,5,5,5,16,23
1552557_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,33,31
1552558_a_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,46
1552559_a_at,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,8,6
1552562_at,5,4,4,4,5,4,4,5,5,4,4,4,5,4,4,5,5,4,4,4,4,4,5,35,20
1552563_a_at,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,33,3
1552564_at,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,17,3
1552566_at,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,4,3,3,3,4,3,3,22,49
1552568_at,5,4,4,5,4,4,5,5,4,5,4,5,4,5,4,5,5,5,4,4,5,4,4,36,3
1552569_a_at,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,1
1552570_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,21
1552572_a_at,3,2,3,3,3,3,3,4,4,3,3,3,2,2,3,3,4,2,3,4,2,3,3,4,1
1552573_s_at,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,5,4,3,4,4,3,4,4,31,6
1552575_a_at,5,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,6,4,4,4,4,4,4,86,91
1552576_at,5,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,6,8
1552578_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,21,20
1552579_a_at,5,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,3,13
1552580_at,5,5,5,4,5,4,5,5,6,5,4,5,5,5,5,5,6,5,5,5,5,5,5,3,1
1552582_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,16
1552583_s_at,3,3,4,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,3,3,4,3,3,6,10
1552584_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,29,12
1552585_s_at,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,17,11
1552586_at,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,16
1552587_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38,13
1552588_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5
1552590_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,4
1552592_at,2,2,2,3,2,3,2,3,3,2,2,3,2,3,2,3,2,2,2,3,2,2,2,31,1
1552594_at,6,6,5,6,5,5,6,5,6,5,5,6,5,6,6,6,5,5,5,5,5,5,5,4,4
1552596_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15,18
1552598_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,5,37,14
